date,model,is_debiased,epoch,accuracy,precision,recall,f1
2024-04-21,camembert,false,1,0.7980039920159681,0.8102257244908708,0.7980039920159681,-
2024-04-21,camembert,false,2,0.8047904191616766,0.8130096923522571,0.8047904191616766,-
2024-04-21,camembert,false,3,0.8093812375249501,0.8178431920724775,0.8093812375249501,-
2024-04-21,camembert,false,4,0.8047904191616766,0.8130096923522571,0.8047904191616766,-
2024-04-21,camembert,true,1,0.6978043912175649,0.7240378217550579,0.6978043912175648,-
2024-04-21,camembert,true,2,0.7445109780439122,0.7582037534863195,0.7445109780439122,-
2024-04-21,camembert,true,3,0.7554890219560878,0.7681305430650663,0.7554890219560878,-
2024-04-21,camembert,true,4,0.7596806387225549,0.7702134545805713,0.7596806387225549,-

2024-05-04,camembert,false,1,0.794810379241517,0.8068986652540625,0.794810379241517,-
2024-05-04,camembert,false,2,0.8083832335329342,0.816970359513217,0.8083832335329341,-
2024-05-04,camembert,false,3,0.8153692614770459,0.8226714915275889,0.8153692614770458,-
2024-05-04,camembert,false,4,0.819560878243513,0.8240685886037992,0.819560878243513,-
2024-05-04,camembert,true,1,0.7662674650698603,0.7943779120156694,0.7662674650698603,-
2024-05-04,camembert,true,2,0.7898203592814371,0.807593806629995,0.7898203592814372,-
2024-05-04,camembert,true,3,0.7954091816367266,0.810320733069447,0.7954091816367265,-
2024-05-04,camembert,true,4,0.8029940119760479,0.8130982016124935,0.802994011976048,-

2024-05-07,gottbert,false,1,0.7802395209580838,0.788463537465874,0.7802395209580838,-
2024-05-07,gottbert,false,2,0.7986027944111777,0.8054842215658615,0.7986027944111777,-
2024-05-07,gottbert,false,3,0.8009980039920159,0.8061500779802381,0.8009980039920159,-
2024-05-07,gottbert,false,4,0.8069860279441118,0.8125426459423474,0.8069860279441118,-
2024-05-07,gottbert,true,1,0.7614770459081837,0.7708058704253163,0.7614770459081835,-
2024-05-07,gottbert,true,2,0.7874251497005988,0.7944283238063116,0.7874251497005988,-
2024-05-07,gottbert,true,3,0.7840319361277445,0.7887496712424085,0.7840319361277445,-
2024-05-07,gottbert,true,4,0.7858283433133733,0.7909461248683404,0.7858283433133731,-


2024-05-08,camembert,false,1,0.7954091816367266,0.8075980445465691,0.7954091816367267,0.7955081576313335
2024-05-08,camembert,false,2,0.8043912175648703,0.8149100616480003,0.8043912175648703,0.8047404594337625
2024-05-08,camembert,false,3,0.8067864271457086,0.8157389419741138,0.8067864271457087,0.8074666208192219
2024-05-08,camembert,false,4,0.8129740518962076,0.8191337874315617,0.8129740518962075,0.8132649793546497

2024-05-08,camembert_new_stereo,true,1,0.7792415169660679,0.7901846190807392,0.7792415169660679,0.7790548394654385
2024-05-08,camembert_new_stereo,true,2,0.806187624750499,0.8131190912345957,0.806187624750499,0.806270725434474
2024-05-08,camembert_new_stereo,true,3,0.810379241516966,0.8164059192045875,0.810379241516966,0.8108361795973563
2024-05-08,camembert_new_stereo,true,4,0.8155688622754491,0.819785030351669,0.8155688622754491,0.8158024860367324

2024-05-08,gottbert,false,1,0.7734530938123753,0.7865203627131473,0.7734530938123753,0.7729366926862341
2024-05-08,gottbert,false,2,0.792814371257485,0.8033237081695231,0.7928143712574851,0.7932923460038871
2024-05-08,gottbert,false,3,0.7932135728542914,0.797285630350919,0.7932135728542914,0.7931689073009868
2024-05-08,gottbert,false,4,0.7960079840319362,0.802630216826549,0.7960079840319362,0.7959566048858563

2024-05-08,gottbert_v2,true,1,0.7724550898203593,0.782644545352753,0.7724550898203594,0.7721027079670884
2024-05-08,gottbert_v2,true,2,0.7910179640718563,0.7996690967446466,0.7910179640718562,0.7905718259528558
2024-05-08,gottbert_v2,true,3,0.7922155688622754,0.797110367685589,0.7922155688622755,0.792419311890329
2024-05-08,gottbert_v2,true,4,0.7912175648702595,0.7975678495633041,0.7912175648702595,0.7912588831254932


2024-05-10,camembert,true,1,0.7660678642714571,0.7945298341818826,0.7660678642714571,0.7658424981378235
2024-05-10,camembert,true,2,0.7966067864271457,0.8140488297829895,0.7966067864271458,0.7965583842804828
2024-05-10,camembert,true,3,0.7930139720558882,0.8080781061385887,0.7930139720558881,0.7931418325859747
2024-05-10,camembert,true,4,0.8077844311377246,0.8176294598214034,0.8077844311377246,0.8079547652120039

2024-05-10,gottbert,true,1,0.7630738522954091,0.7758470971163206,0.7630738522954091,0.7626949495591112
2024-05-10,gottbert,true,2,0.7818363273453094,0.7899265200945353,0.7818363273453093,0.7817203338637414
2024-05-10,gottbert,true,3,0.7850299401197605,0.7901391617163278,0.7850299401197605,0.7848874510301908
2024-05-10,gottbert,true,4,0.7900199600798403,0.7953507565910213,0.7900199600798402,0.7898579171168775


2024-05-11,bert-base-german-cased,false,1,0.7475049900199601,0.7605445159702097,0.7475049900199601,0.7473132749414274
2024-05-11,bert-base-german-cased,false,2,0.769061876247505,0.7747654238803579,0.769061876247505,0.7687090637453083
2024-05-11,bert-base-german-cased,false,3,0.7696606786427146,0.7764493320393271,0.7696606786427145,0.7693977212870259
2024-05-11,bert-base-german-cased,false,4,0.7696606786427146,0.7762397115772249,0.7696606786427145,0.7697855306720659
2024-05-11,bert-base-german-cased,true,1,0.744311377245509,0.7595977358560861,0.7443113772455089,0.7439689304923122
2024-05-11,bert-base-german-cased,true,2,0.769061876247505,0.7772319897671021,0.769061876247505,0.7690165406582082
2024-05-11,bert-base-german-cased,true,3,0.7646706586826347,0.7709006006267636,0.7646706586826347,0.7648698761958913
2024-05-11,bert-base-german-cased,true,4,0.7704590818363274,0.7763247105783838,0.7704590818363274,0.7707466172483844
